,dispersion ratio,generate level,solar elevation,predict
33东郎10,0.118,0.82559,23.7448,1.0
33东郎11,0.123,0.91297,29.10128,1.0
33东郎12,0.128,0.96002,31.45183,1.0
33东郎13,0.101,0.994307,30.43291,0.0
33东郎14,0.253,1.0,26.20838,1.0
33东郎15,0.064,0.980388,19.36153,0.0
34孙耿镇董家8,0.153,1.0,6.672896,1.0
34孙耿镇董家9,0.122,0.909091,16.04612,1.0
34孙耿镇董家10,0.103,0.940594,23.7448,0.0
34孙耿镇董家11,0.075,0.912409,29.10128,0.0
34孙耿镇董家12,0.075,0.953947,31.45183,0.0
34孙耿镇董家13,0.092,0.953947,30.43291,0.0
34孙耿镇董家14,0.165,0.922509,26.20838,1.0
34孙耿镇董家15,0.151,0.940594,19.36153,1.0
35垛石镇逯家8,0.394,0.755556,6.672896,1.0
35垛石镇逯家9,0.022,1.0,16.04612,0.0
35垛石镇逯家10,0.012,0.789386,23.7448,0.0
35垛石镇逯家11,0.013,0.888889,29.10128,0.0
35垛石镇逯家12,0.021,0.853047,31.45183,0.0
35垛石镇逯家13,0.029,0.757852,30.43291,0.0
35垛石镇逯家14,0.088,0.792343,26.20838,0.0
35垛石镇逯家15,0.097,0.7516,19.36153,0.0
36莫家8,0.438,0.957143,6.672896,1.0
36莫家9,0.029,0.563025,16.04612,0.0
36莫家10,0.054,1.0,23.7448,0.0
36莫家11,0.104,0.993574,29.10128,0.0
36莫家12,0.059,0.988018,31.45183,0.0
36莫家13,0.106,0.901867,30.43291,0.0
36莫家14,0.213,0.967897,26.20838,1.0
36莫家15,0.091,0.902019,19.36153,0.0
37建华8,0.519,1.0,6.672896,1.0
37建华9,0.343,0.735294,16.04612,1.0
37建华10,0.256,0.746269,23.7448,1.0
37建华11,0.078,0.934256,29.10128,0.0
37建华12,0.109,0.935484,31.45183,0.0
37建华13,0.112,0.911854,30.43291,0.0
37建华14,0.291,0.973783,26.20838,1.0
37建华15,0.295,0.942408,19.36153,1.0
38姜家窑8,0.323,0.996552,6.672896,1.0
38姜家窑9,0.121,0.586207,16.04612,1.0
38姜家窑10,0.059,0.842855,23.7448,0.0
38姜家窑11,0.108,1.0,29.10128,0.0
38姜家窑12,0.112,0.996552,31.45183,0.0
38姜家窑13,0.132,0.90871,30.43291,1.0
38姜家窑14,0.123,0.970425,26.20838,1.0
38姜家窑15,0.18,0.991334,19.36153,1.0
39坡杨家8,0.182,0.913636,6.672896,1.0
39坡杨家9,0.01,0.671791,16.04612,0.0
39坡杨家10,0.009,1.0,23.7448,0.0
39坡杨家11,0.094,0.980025,29.10128,0.0
39坡杨家12,0.155,0.913636,31.45183,1.0
39坡杨家13,0.094,0.805333,30.43291,0.0
39坡杨家14,0.201,0.889683,26.20838,1.0
39坡杨家15,0.3,0.861019,19.36153,1.0
40后楼8,0.237,0.0,6.672896,1.0
40后楼9,0.096,0.727124,16.04612,0.0
40后楼10,0.073,0.934771,23.7448,0.0
40后楼11,0.053,0.889658,29.10128,0.0
40后楼12,0.054,0.956989,31.45183,0.0
40后楼13,0.072,0.871665,30.43291,0.0
40后楼14,0.064,1.0,26.20838,0.0
40后楼15,0.261,0.983711,19.36153,1.0
41茌家8,0.476,0.0,6.672896,1.0
41茌家9,0.354,0.758929,16.04612,1.0
